FID,Route_Name,Route_Numb,Route_Dire,On_Street,At_Street,X,Y
388,Crosstown 2,0.000000000000000, ,Prince,Peter,-83.080195696800004,42.291090263500003
389,Crosstown 2,0.000000000000000, ,Sandwich,Watkins,-83.080932336299995,42.293252884499999
390,Crosstown 2,0.000000000000000, ,Sandwich,South,-83.079532050400005,42.295510524599997
391,Crosstown 2,0.000000000000000, ,Sandwich,Chippawa,-83.078190096300006,42.297723366299998
392,Crosstown 2,0.000000000000000, ,Sandwich,Brock,-83.076744793600000,42.300042335999997
393,Crosstown 2,0.000000000000000, ,Wyandotte,Mill,-83.070982910500007,42.300798190400002
394,Crosstown 2,0.000000000000000, ,Wyandotte,Rosedale,-83.070225341799997,42.302093027600002
395,Crosstown 2,0.000000000000000, ,Wyandotte,Huron Church,-83.067510516599995,42.303600036699997
396,Crosstown 2,0.000000000000000, ,Wyandotte,Sunset,-83.064149889199996,42.304666683100002
397,Crosstown 2,0.000000000000000, ,Wyandotte,Randolph,-83.060724296600000,42.305729125399999
398,Crosstown 2,0.000000000000000, ,Wyandotte,Bridge,-83.057752334699998,42.306669736800004
399,Crosstown 2,0.000000000000000, ,Wyandotte,Campbell,-83.055603332299995,42.307333191900000
400,Crosstown 2,0.000000000000000, ,Wyandotte,McKay,-83.052935932799997,42.308293986999999
401,Crosstown 2,0.000000000000000, ,Wyandotte,Wellington,-83.049930417400006,42.309360196699998
402,Crosstown 2,0.000000000000000, ,Wyandotte,Crawford,-83.047417054099995,42.310236218800000
403,Crosstown 2,0.000000000000000, ,Wyandotte,Caron,-83.043929869799996,42.311503098099998
404,Crosstown 2,0.000000000000000, ,Wyandotte,Bruce,-83.041937498999999,42.312202790599997
405,Crosstown 2,0.000000000000000, ,Wyandotte,Victoria,-83.038875252200000,42.313297515499997
406,Crosstown 2,0.000000000000000, ,Wyandotte,Ouellette,-83.036988864099996,42.313971126200002
407,Crosstown 2,0.000000000000000, ,Wyandotte,Dufferin,-83.036018502299996,42.314311109099997
408,Crosstown 2,0.000000000000000, ,Wyandotte,Windsor,-83.033928263199996,42.315056423199998
409,Crosstown 2,0.000000000000000, ,Wyandotte,McDougall,-83.032201376900005,42.315663877399999
410,Crosstown 2,0.000000000000000, ,Wyandotte,Glengarry,-83.029513625899995,42.316631249700002
411,Crosstown 2,0.000000000000000, ,Wyandotte,Aylmer,-83.028192930900005,42.317089850899997
412,Crosstown 2,0.000000000000000, ,Wyandotte,Marentette,-83.025079525400002,42.318210347799997
413,Crosstown 2,0.000000000000000, ,Wyandotte,Parent,-83.023591632299997,42.318745465600003
414,Crosstown 2,0.000000000000000, ,Wyandotte,Marion,-83.020990326600000,42.319666411800000
415,Crosstown 2,0.000000000000000, ,Wyandotte,Hall,-83.018750044000001,42.320495006900003
416,Crosstown 2,0.000000000000000, ,Wyandotte,Gladstone,-83.017034057000004,42.321150896600003
417,Crosstown 2,0.000000000000000, ,Wyandotte,Lincoln,-83.015658758200004,42.321697925800002
418,Crosstown 2,0.000000000000000, ,Wyandotte,Devonshire,-83.012168053600007,42.322996746800001
419,Crosstown 2,0.000000000000000, ,Wyandotte,Monmouth,-83.010103097100000,42.323704894999999
420,Crosstown 2,0.000000000000000, ,Wyandotte,Walker,-83.007024852900003,42.323248649200004
421,Crosstown 2,0.000000000000000, ,Wyandotte,Albert,-83.003921145299998,42.323585144500001
422,Crosstown 2,0.000000000000000, ,Wyandotte,Drouillard,-83.001562219799993,42.324414367899998
423,Crosstown 2,0.000000000000000, ,Wyandotte,Belleview,-82.997574966100004,42.324374776600003
424,Crosstown 2,0.000000000000000, ,Wyandotte,Strabane,-82.993797150700004,42.324470528200003
425,Crosstown 2,0.000000000000000, ,Wyandotte,Sterling,-82.991038314199997,42.324565939800003
426,Crosstown 2,0.000000000000000, ,Wyandotte,George,-82.988101887100001,42.324717781399997
427,Crosstown 2,0.000000000000000, ,Wyandotte,Rossini,-82.985500682500003,42.325225500199998
428,Crosstown 2,0.000000000000000, ,Wyandotte,Jos Janisse,-82.983703324499999,42.325565979700002
429,Crosstown 2,0.000000000000000, ,Wyandotte,Pillette,-82.979882639500005,42.326302710299998
430,Crosstown 2,0.000000000000000, ,Wyandotte,Raymo,-82.977530735800002,42.326750735499999
431,Crosstown 2,0.000000000000000, ,Wyandotte,Westminster,-82.974635140199993,42.327324632000000
432,Crosstown 2,0.000000000000000, ,Wyandotte,Ford,-82.972175408699997,42.327794476699999
433,Crosstown 2,0.000000000000000, ,Wyandotte,Prado,-82.969848180000000,42.328244193800003
434,Crosstown 2,0.000000000000000, ,Wyandotte,St Louis,-82.967943551399998,42.328615378899997
435,Crosstown 2,0.000000000000000, ,Wyandotte,Jefferson,-82.964108920000001,42.329354671200001
436,Crosstown 2,0.000000000000000, ,Wyandotte,Victor,-82.961506990600000,42.329857915700003
