the_geom,stop_code,OBJECTID,stop_id,stop_name,stop_desc,stop_lat,stop_lon,Source
POINT (-83.16017399999998 42.42386700000003),CUWYEB,150,214,Curtis & Wyoming,Curtis Ave & Wyoming St,42.423867,-83.160174,DDOT GTFS
POINT (-83.14012299999996 42.41701800000004),MCLV2EB,151,215,McNichols & Livernois,W Mcnichols Rd & Livernois Ave,42.417018,-83.140123,DDOT GTFS
POINT (-83.13565999999997 42.402454000000034),DXFKSB,152,216,Dexter & Fenkell,Dexter Ave & Fenkell Ave,42.402454,-83.13566,DDOT GTFS
POINT (-83.12543699999998 42.38098300000007),DXELSB,153,217,Dexter & Elmhurst,Dexter Ave & Elmhurst St,42.380983,-83.125437,DDOT GTFS
POINT (-83.10952899999995 42.35793400000006),DXLOSB,154,218,Dexter & Lothrop,Dexter Ave & Lothrop St,42.357934,-83.109529,DDOT GTFS
POINT (-83.09091299999994 42.36366200000003),WGRPEB,155,219,W. Grand Blvd. & Rosa Park Blvd.,W Grand Blvd & Rosa Parks Blvd,42.363662,-83.090913,DDOT GTFS
POINT (-83.07703499999997 42.36879300000004),WGSCEB,156,220,W. Grand Blvd. & Second,W Grand Blvd & 2nd Ave,42.368793,-83.077035,DDOT GTFS
POINT (-83.04621999999995 42.32830000000007),JFSBWB,158,223,Jefferson & Shelby,150 W Jefferson Ave & Shelby,42.3283,-83.04622,DDOT GTFS
POINT (-83.07738899999998 42.36895400000003),WGSCWB,160,225,W. Grand Blvd. & Second,W Grand Blvd & 2nd Ave,42.368954,-83.077389,DDOT GTFS
POINT (-83.09144999999995 42.363725000000045),WGRPWB,161,226,W. Grand Blvd. & Rosa Park Blvd.,W Grand Blvd & Rosa Parks Blvd,42.363725,-83.09145,DDOT GTFS
POINT (-83.10915099999994 42.357863000000066),DXLONB,162,227,Dexter & Lothrop,Dexter Ave & Lothrop St,42.357863,-83.109151,DDOT GTFS
POINT (-83.12535099999997 42.381511000000046),DXELNB,163,228,Dexter & Elmhurst,Dexter Ave & Elmhurst St,42.381511,-83.125351,DDOT GTFS
POINT (-83.13531799999998 42.40281200000004),DXFKNB,164,229,Dexter & Fenkell,Dexter Ave & Fenkell Ave,42.402812,-83.135318,DDOT GTFS
POINT (-83.14063599999997 42.41728600000005),LV6MNB,165,230,Livernois & McNichols,Livernois Ave & W Mcnichols Rd,42.417286,-83.140636,DDOT GTFS
POINT (-83.16071199999999 42.424109000000044),CUWYWB,166,231,Curtis & Wyoming,Curtis St & Wyoming St,42.424109,-83.160712,DDOT GTFS
POINT (-83.19978499999996 42.419481000000076),WOGFWB,167,232,West Outer Drive & Greenfield,W Outer Dr & Greenfield Rd,42.419481,-83.199785,DDOT GTFS
POINT (-83.21971699999995 42.41908600000005),WOSOWB,168,233,W. OUTER DRIVE & SOUTHFIELD,W Outer Dr & Southfield Frwy Service Dr,42.419086,-83.219717,DDOT GTFS
POINT (-83.28510299999994 42.428423000000066),7MGREB,169,236,Seven Mile & Grand River,W 7 Mile Rd & Grandview Ave,42.428423,-83.285103,DDOT GTFS
POINT (-83.25860099999994 42.443017000000054),8MLHEB,170,237,Eight Mile & Lahser,W 8 Mile Rd & Lahser Rd,42.443017,-83.258601,DDOT GTFS
POINT (-83.23910199999995 42.44357100000008),8MEGEB,171,238,Eight Mile & Evergreen,W 8 Mile Rd & Evergreen Rd,42.443571,-83.239102,DDOT GTFS
POINT (-83.00592599999999 42.445163000000036),HOBRSB,1234,2042,HOOVER & BRINGARD,,42.445163,-83.005926,DDOT GTFS
POINT (-83.18081199999995 42.44501600000007),8MSFEB,172,240,Eight Mile & Schaefer,W 8 Mile Rd & Schaefer Hwy,42.445016,-83.180812,DDOT GTFS
POINT (-83.14198299999998 42.446124000000054),8MLVEB,173,241,Eight Mile & Livernois,W 8 Mile Rd & Livernois Ave,42.446124,-83.141983,DDOT GTFS
POINT (-83.12076299999995 42.441936000000055),FGGDEB,174,242,Fairgrounds,State Fair Grds Loop,42.441936,-83.120763,DDOT GTFS
POINT (-83.08296699999994 42.44713200000007),8MDQEB,175,243,Eight Mile & Dequindre,8 Mile Rd & Dequindre Rd,42.447132,-83.082967,DDOT GTFS
POINT (-83.02431699999994 42.448221000000046),8MVDEB,176,244,Eight Mile & Van Dyke,8 Mile Rd & Van Dyke Ave,42.448221,-83.024317,DDOT GTFS
POINT (-82.93592399999994 42.44606900000008),ESLDEB,177,245,Eastland Center,Eastland Dr & Kelly Rd,42.446069,-82.935924,DDOT GTFS
POINT (-83.02489199999997 42.44835600000005),8MVDWB,178,247,Eight Mile & Van Dyke,E 8 Mile Rd & Van Dyke Ave,42.448356,-83.024892,DDOT GTFS
POINT (-83.08352999999994 42.44731100000007),8MDQWB,179,248,Eight Mile & Dequindre,E 8 Mile Rd & Dequindre Rd,42.447311,-83.08353,DDOT GTFS
POINT (-83.12045699999999 42.44211500000006),FGGDWB,180,249,Fairgrounds,STATE FAIR GRND LOOP & Clairmount St,42.442115,-83.120457,DDOT GTFS
POINT (-83.14237399999996 42.446267000000034),8MLVWB,181,250,Eight Mile & Livernois,W 8 Mile Rd & Livernois Ave,42.446267,-83.142374,DDOT GTFS
POINT (-83.18123999999995 42.445178000000055),8MSFWB,182,251,Eight Mile & Coolidge,W 8 Mile Rd & Coolidge Hwy,42.445178,-83.18124,DDOT GTFS
POINT (-83.23949399999998 42.44378500000005),8MEGWB,183,253,Eight Mile & Evergreen,W 8 Mile Rd & Evergreen Rd,42.443785,-83.239494,DDOT GTFS
POINT (-83.27504299999998 42.399834000000055),FKDLEB,184,256,Fenkell & Dale,,42.399834,-83.275043,DDOT GTFS
POINT (-83.23763399999996 42.400424000000044),FKEGEB,185,257,Fenkell & Evergreen,Fenkell Ave & Evergreen Rd,42.400424,-83.237634,DDOT GTFS
POINT (-83.21738899999997 42.40082200000006),FKSOEB,186,258,Fenkell & Southfield,Fenkell St & Southfield Fwy,42.400822,-83.217389,DDOT GTFS
POINT (-83.19854899999996 42.40121700000003),FKGFEB,187,259,Fenkell & Greenfield,Fenkell St & Greenfield Rd,42.401217,-83.198549,DDOT GTFS
POINT (-83.17896399999995 42.40171600000008),FKSFEB,188,260,Fenkell & Schaefer,Fenkell St & Schaefer Hwy,42.401716,-83.178964,DDOT GTFS
POINT (-83.15943899999996 42.40224000000006),FKWYEB,189,261,Fenkell & Wyoming,Fenkell Ave & Wyoming St,42.40224,-83.159439,DDOT GTFS
POINT (-83.13512199999997 42.40257900000006),FKDXEB,190,262,Fenkell & Dexter,Fenkell Ave & Dexter Ave,42.402579,-83.135122,DDOT GTFS
POINT (-83.11948799999999 42.40011100000004),14OMSB,191,263,Fourteenth & Oakman,14th St & Oakman Blvd,42.400111,-83.119488,DDOT GTFS
POINT (-83.10299399999997 42.37501200000003),14CLSB,192,264,Fourteenth & Clairmount,14th St & Clairmount St,42.375012,-83.102994,DDOT GTFS
POINT (-83.09470299999998 42.36223400000006),14BVSB,193,265,Fourteenth & West Grand Blvd,14th St & W Grand Blvd,42.362234,-83.094703,DDOT GTFS
POINT (-83.08548999999994 42.34698700000007),14GRSB,194,266,Fourteenth & Grand River,14th Ave & Grand River Ave,42.346987,-83.08549,DDOT GTFS
POINT (-83.07790199999994 42.333762000000036),14FSSB,195,267,Fourteeth & Fisher Fwy,14th St & Pine St,42.333762,-83.077902,DDOT GTFS
POINT (-83.07323599999995 42.33387400000004),RPFIEB,196,272,Rosa Parks Blvd. & Fisher Fwy.,Rosa Parks Blvd & Fisher Frwy Service Dr,42.333874,-83.073236,DDOT GTFS
POINT (-83.07979999999998 42.345184000000074),ROGRNB,197,273,Rosa Parks Blvd. & Grand River,Rosa Parks Blvd & Grand River Ave,42.345184,-83.0798,DDOT GTFS
POINT (-83.09116899999998 42.36394900000005),ROBVNB,198,274,Rosa Parks Blvd. & W.Grand Blvd.,Rosa Parks Blvd & W Grand Blvd,42.363949,-83.091169,DDOT GTFS
POINT (-83.09966799999995 42.37655700000005),ROCLNB,199,275,Rosa Parks Blvd. & Clairmount,Rosa Parks Blvd & Clairmount St,42.376557,-83.099668,DDOT GTFS
POINT (-83.11663799999997 42.40148700000003),ROOMNB,200,276,Rosa Parks Blvd. & Oakman Blvd.,,42.401487,-83.116638,DDOT GTFS
POINT (-83.13572099999999 42.40267800000004),FKDXWB,201,277,Fenkell & Dexter,Fenkell Ave & Dexter Ave,42.402678,-83.135721,DDOT GTFS
